Percent,State,County
24.0,CO,Alamosa County
9.2,CO,Arapahoe County
13.1,CO,Archuleta County
20.8,CO,Baca County
36.7,CO,Bent County
12.3,CO,Boulder County
4.9,CO,Broomfield County
11.7,CO,Chaffee County
11.7,CO,Cheyenne County
9.6,CO,Clear Creek County
20.2,CO,Conejos County
28.2,CO,Costilla County
44.3,CO,Crowley County
15.1,CO,Custer County
15.8,CO,Delta County
15.7,CO,Denver County
14.9,CO,Dolores County
3.4,CO,Douglas County
7.6,CO,Eagle County
5.9,CO,Elbert County
11.0,CO,El Paso County
17.2,CO,Fremont County
10.3,CO,Garfield County
8.0,CO,Gilpin County
8.3,CO,Grand County
12.5,CO,Gunnison County
10.9,CO,Hinsdale County
23.2,CO,Huerfano County
13.9,CO,Jackson County
7.9,CO,Jefferson County
13.9,CO,Kiowa County
12.2,CO,Kit Carson County
15.7,CO,Lake County
9.4,CO,La Plata County
12.2,CO,Larimer County
19.3,CO,Las Animas County
19.4,CO,Lincoln County
15.5,CO,Logan County
14.1,CO,Mesa County
9.4,CO,Mineral County
11.7,CO,Moffat County
19.3,CO,Montezuma County
17.7,CO,Montrose County
12.1,CO,Morgan County
20.6,CO,Otero County
9.4,CO,Ouray County
9.2,CO,Park County
11.1,CO,Phillips County
7.0,CO,Pitkin County
19.6,CO,Prowers County
19.8,CO,Pueblo County
9.7,CO,Rio Blanco County
17.2,CO,Rio Grande County
8.9,CO,Routt County
29.6,CO,Saguache County
15.6,CO,San Juan County
11.0,CO,San Miguel County
13.6,CO,Sedgwick County
8.7,CO,Summit County
8.8,CO,Teller County
11.4,CO,Washington County
11.3,CO,Weld County
14.1,CO,Yuma County
10.6,CT,Connecticut
9.0,CT,Fairfield County
11.1,CT,Hartford County
7.4,CT,Litchfield County
6.7,CT,Middlesex County
13.6,CT,New Haven County
11.1,CT,New London County
7.1,CT,Tolland County
10.9,CT,Windham County
12.6,DE,Delaware
14.2,DE,Kent County
12.1,DE,New Castle County
12.3,DE,Sussex County
17.7,DC,District of Columbia
17.7,DC,District of Columbia
15.8,FL,Florida
21.1,FL,Alachua County
16.8,FL,Baker County
16.5,FL,Bay County
21.3,FL,Bradford County
13.4,FL,Brevard County
14.0,FL,Broward County
22.2,FL,Calhoun County
12.4,FL,Charlotte County
17.5,FL,Citrus County
11.6,FL,Clay County
13.6,FL,Collier County
19.7,FL,Columbia County
30.5,FL,DeSoto County
29.3,FL,Dixie County
16.0,FL,Duval County
15.4,FL,Escambia County
11.7,FL,Flagler County
23.7,FL,Franklin County
24.5,FL,Gadsden County
19.2,FL,Gilchrist County
22.1,FL,Glades County
21.9,FL,Gulf County
31.8,FL,Hamilton County
25.9,FL,Hardee County
25.8,FL,Hendry County
14.3,FL,Hernando County
22.9,FL,Highlands County
15.8,FL,Hillsborough County
25.9,FL,Holmes County
13.0,FL,Indian River County
22.5,FL,Jackson County
19.4,FL,Jefferson County
23.8,FL,Lafayette County
12.8,FL,Lake County
15.9,FL,Lee County
21.8,FL,Leon County
22.1,FL,Levy County
22.6,FL,Liberty County
27.0,FL,Madison County
14.8,FL,Manatee County
18.7,FL,Marion County
11.2,FL,Martin County
20.0,FL,Miami-Dade County
11.3,FL,Monroe County
10.8,FL,Nassau County
11.3,FL,Okaloosa County
23.2,FL,Okeechobee County
15.6,FL,Orange County
18.5,FL,Osceola County
13.5,FL,Palm Beach County
14.6,FL,Pasco County
13.6,FL,Pinellas County
17.3,FL,Polk County
27.3,FL,Putnam County
9.8,FL,St. Johns County
16.4,FL,St. Lucie County
12.3,FL,Santa Rosa County
9.7,FL,Sarasota County
11.5,FL,Seminole County
10.1,FL,Sumter County
23.6,FL,Suwannee County
21.2,FL,Taylor County
26.2,FL,Union County
16.3,FL,Volusia County
16.5,FL,Wakulla County
14.8,FL,Walton County
24.8,FL,Washington County
17.2,GA,Georgia
22.5,GA,Appling County
26.9,GA,Atkinson County
23.9,GA,Bacon County
28.7,GA,Baker County
26.0,GA,Baldwin County
15.8,GA,Banks County
15.6,GA,Barrow County
13.6,GA,Bartow County
32.5,GA,Ben Hill County
25.5,GA,Berrien County
26.7,GA,Bibb County
19.3,GA,Bleckley County
21.6,GA,Brantley County
25.4,GA,Brooks County
13.1,GA,Bryan County
29.9,GA,Bulloch County
25.1,GA,Burke County
19.0,GA,Butts County
37.5,GA,Calhoun County
13.6,GA,Camden County
28.1,GA,Candler County
20.4,GA,Carroll County
13.1,GA,Catoosa County
32.5,GA,Charlton County
17.8,GA,Chatham County
21.0,GA,Chattahoochee County
20.4,GA,Chattooga County
9.4,GA,Cherokee County
38.1,GA,Clarke County
34.3,GA,Clay County
23.3,GA,Clayton County
28.2,GA,Clinch County
11.4,GA,Cobb County
22.6,GA,Coffee County
24.1,GA,Colquitt County
9.3,GA,Columbia County
24.1,GA,Cook County
10.9,GA,Coweta County
20.6,GA,Crawford County
32.3,GA,Crisp County
16.2,GA,Dade County
12.1,GA,Dawson County
27.3,GA,Decatur County
17.8,GA,DeKalb County
24.8,GA,Dodge County
33.8,GA,Dooly County
29.4,GA,Dougherty County
14.1,GA,Douglas County
26.5,GA,Early County
25.9,GA,Echols County
11.4,GA,Effingham County
23.7,GA,Elbert County
27.0,GA,Emanuel County
27.4,GA,Evans County
17.4,GA,Fannin County
7.0,GA,Fayette County
19.6,GA,Floyd County
6.3,GA,Forsyth County
21.9,GA,Franklin County
16.0,GA,Fulton County
16.9,GA,Gilmer County
17.8,GA,Glascock County
18.2,GA,Glynn County
18.1,GA,Gordon County
29.3,GA,Grady County
21.2,GA,Greene County
12.6,GA,Gwinnett County
16.6,GA,Habersham County
16.9,GA,Hall County
34.7,GA,Hancock County
19.2,GA,Haralson County
9.9,GA,Harris County
18.6,GA,Hart County
19.1,GA,Heard County
9.9,GA,Henry County
15.2,GA,Houston County
24.7,GA,Irwin County
13.0,GA,Jackson County
17.4,GA,Jasper County
21.7,GA,Jeff Davis County
27.7,GA,Jefferson County
35.9,GA,Jenkins County
30.2,GA,Johnson County
14.2,GA,Jones County
21.0,GA,Lamar County
21.8,GA,Lanier County
25.5,GA,Laurens County
10.7,GA,Lee County
20.3,GA,Liberty County
21.4,GA,Lincoln County
19.1,GA,Long County
26.5,GA,Lowndes County
16.5,GA,Lumpkin County
27.4,GA,McDuffie County
24.0,GA,McIntosh County
33.5,GA,Macon County
15.1,GA,Madison County
25.5,GA,Marion County
22.1,GA,Meriwether County
25.1,GA,Miller County
28.0,GA,Mitchell County
14.2,GA,Monroe County
24.3,GA,Montgomery County
14.3,GA,Morgan County
17.8,GA,Murray County
22.2,GA,Muscogee County
14.9,GA,Newton County
6.8,GA,Oconee County
16.9,GA,Oglethorpe County
8.8,GA,Paulding County
22.0,GA,Peach County
